RefSeq ID,Gene symbol,hsa-miR-16-5p,hsa-miR-106b-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-215-5p,hsa-let-7c-5p,hsa-miR-103a-3p
NM_032376,TMEM101,-0.193,0.2,-0.036,0.04,0.269,0.004,-0.086
NM_032377,ELOF1,-0.203,0.122,0.088,0.023,0.162,0.112,0.15
NM_032380,GFM2,0.067,-0.065,0.157,0.214,0.041,-0.263,-0.005
NM_032382,COG8,-0.078,0.088,0.034,-0.149,0.061,0.008,0.013
NM_032383,HPS3,-0.102,0.073,0.141,0.078,-0.14,-0.174,0.276
NM_032389,ARFGAP2,-0.304,0.111,-0.199,0.103,0.099,0.26,-0.208
NM_032390,MKI67IP,0.029,0.104,-0.076,0.058,-0.133,0.102,0.276
NM_032408,BAZ1B,-0.075,-0.032,-0.062,0.129,0.109,0.003,0.015
NM_032409,PINK1,0.217,0.127,0.256,-0.273,0.298,-0.349,N/A
NM_032412,C5ORF32,-0.023,0.114,0.268,0.076,0.099,-0.1,0.056
NM_032421,CLIP2,0.09,0.024,-0.189,-0.17,0.137,0.276,-0.156
NM_032424,KIAA1826,0.256,-0.371,-0.536,0.066,-0.038,-0.296,0.169
NM_032429,LZTS2,-0.032,0.039,-0.022,-0.222,0.102,-0.033,0.157
NM_032430,BRSK1,-0.001,-0.034,-0.029,-0.12,0.055,0.131,-0.012
NM_032435,KIAA1804,0.015,0.267,0.349,0.135,-0.028,-0.335,-0.319
NM_032442,NEURL4,-0.116,0.007,0.034,-0.06,0.134,0.006,0.048
NM_032448,FAM120B,0.121,-0.01,0.24,0.162,0.134,0.131,-0.063
NM_032449,CC2D1B,-0.388,0.06,0.197,-0.009,-0.055,-0.036,-0.598
NM_032457,PCDH7,0.199,0.045,0.101,-0.159,-0.308,-0.014,0.187
NM_032458,PHF6,0.183,-0.033,-0.258,-0.131,-0.446,-0.109,0.165
NM_032466,ASPH,N/A,N/A,-0.243,0.405,0.096,0.321,N/A
NM_032472,PPIL3,-0.025,0.107,-0.521,0.073,-0.016,0.056,0.129
NM_032476,MRPS6,-0.024,0.118,0.085,0.008,-0.166,0.303,0.068
NM_032477,MRPL41,-0.078,0.105,0.075,-0.097,0.024,-0.021,0.057
NM_032478,MRPL38,-0.14,-0.006,0.068,-0.098,0.117,-0.057,0.082
NM_032479,MRPL36,0.129,0.191,-0.064,-0.129,0.233,0.106,-0.064
NM_032483,PPAPDC1B,0.063,0.194,-0.039,0.075,-0.225,0.056,0.194
NM_032486,DCTN5,-0.537,0.108,-0.162,0.122,0.257,-0.073,-0.546
NM_032487,ARPM1,0.209,-0.001,-0.089,-0.028,0.088,-0.076,N/A
NM_032488,CNFN,-0.041,-0.065,0.003,-0.063,0.074,-0.016,0.109
NM_032490,C14ORF142,-0.167,0.152,0.297,-0.267,-0.109,0.174,0.266
NM_032492,JAGN1,-0.07,0.227,-0.067,0.155,-0.122,-0.207,0.267
NM_032494,ZC3H8,N/A,0.139,0.002,0.132,N/A,0.2,-0.188
NM_032497,ZNF559,0.042,0.134,0.015,0.089,0.109,-0.032,-0.047
NM_032499,C15ORF41,0.202,0.136,0.215,-0.197,N/A,-0.205,0.158
NM_032507,PGBD1,-0.001,0.095,-0.212,-0.046,0.028,0.117,-0.228
NM_032508,TMEM185A,-0.147,0.119,0.053,-0.43,-0.493,0.114,-0.118
NM_032509,MAK16,0.119,-0.18,-0.174,0.146,-0.233,0.169,0.165
NM_032511,C6ORF168,0.119,-0.082,-0.002,0.514,-0.177,0.032,-0.047
NM_032515,BOK,-0.023,0.032,0.222,-0.057,0.01,0.1,0.068
NM_032520,GNPTG,0.075,-0.14,-0.06,0.002,0.183,0.056,0.05
NM_032521,PARD6B,-0.068,-0.108,0.278,-0.086,0.327,-0.505,-0.309
NM_032523,OSBPL6,-0.014,0.067,0.119,0.11,-0.421,0.206,0.062
NM_032525,TUBB6,-0.006,0.024,-0.402,-0.251,0.115,0.134,-0.092
NM_032530,ZNF594,0.022,0.068,0.056,0.346,0.055,-0.186,0.199
NM_032531,KIRREL3,0.044,-0.051,-0.062,-0.087,0.176,-0.084,-0.008
NM_032547,SCOC,-0.317,0.044,0.036,0.019,-0.054,0.134,-0.111
NM_032549,IMMP2L,0.25,0.054,0.277,-0.68,0.239,0.277,0.156
NM_032552,DAB2IP,-0.138,0.11,0.115,-0.021,-0.162,0.113,-0.021
NM_032556,IL1F10,-0.072,0.017,0.02,-0.065,0.063,-0.029,0.049
NM_032557,USP38,0.266,0.198,0.062,-0.093,-0.023,-0.594,-0.329
NM_032558,HIATL1,-0.21,0.024,0.053,0.204,-0.75,-0.017,-0.255
NM_032564,DGAT2,0.219,0.085,-0.053,-0.378,0.298,0.442,N/A
NM_032565,EBPL,0.145,0.101,0.224,-0.252,-0.143,0.134,0.146
NM_032574,DPY30,0.052,0.094,-0.037,0.042,-0.007,0.008,0.051
NM_032580,HES7,-0.11,-0.049,0.01,-0.073,0.104,0.02,0.092
NM_032582,USP32,-0.016,0.004,0.004,-0.038,0.201,-0.084,-0.105
NM_032593,HINT2,-0.073,-0.059,0.042,0.01,-0.015,0.154,0.118
NM_032601,MCEE,0.031,-0.14,-0.147,0.501,-0.2,0.119,0.34
NM_032621,BEX2,0.147,0.034,-0.269,0.259,0.338,0.322,0.323
NM_032627,SSBP4,-0.056,0.025,0.121,-0.314,0.067,-0.266,0.112
NM_032630,CINP,-0.043,0.06,-0.004,0.082,0.142,-0.029,0.015
NM_032631,HDGF2,N/A,N/A,0.031,-0.299,0.02,0.056,-0.146
NM_032632,PAPOLA,-0.091,-0.024,-0.307,0.206,-0.038,0.088,0.049
NM_032634,PIGO,-0.123,-0.063,-0.05,0.119,0.241,-0.036,0.08
NM_032635,TMEM147,0.015,-0.15,0.161,-0.289,0.028,-0.34,0.181
NM_032637,SKP2,-0.112,0.121,0.163,0.037,-0.091,-0.255,0.164
NM_032641,SPSB2,0.019,0.137,0.021,-0.127,-0.005,-0.167,0.043
NM_032646,TTYH2,0.322,0.039,-0.193,-0.15,-0.487,0.108,-0.09
NM_032647,CBX2,-0.076,-0.032,0.015,0.019,0.164,-0.032,0.131
NM_032656,DHX37,-0.099,-0.041,0.094,0.028,0.03,0.072,0.009
NM_032664,FUT10,-0.092,0.004,0.057,-0.026,-0.006,N/A,-0.096
NM_032673,PCGF1,-0.052,-0.047,-0.272,0.094,0.146,0.021,0.142
NM_032683,FKSG24,0.134,0.189,-0.041,0.048,0.056,0.002,0.055
NM_032689,ZNF607,0.066,0.234,0.175,0.053,0.025,0.092,-0.08
NM_032701,SUV420H2,-0.36,-0.118,0.469,0.605,0.3,0.075,N/A
NM_032709,C10ORF33,0.307,-0.117,0.019,-0.302,0.021,0.01,-0.094
NM_032714,C14ORF151,-0.058,0.032,N/A,-0.026,0.108,-0.025,-0.077
NM_032717,AGPAT9,-0.06,-0.046,0.125,0.048,-0.294,-0.692,0.286
NM_032718,MFSD9,-0.31,0.11,0.091,-0.134,0.122,-0.182,-0.016
NM_032725,BUD13,0.057,-0.066,-0.092,0.029,-0.157,0.073,-0.128
NM_032730,RTN4IP1,0.132,0.012,-0.292,0.021,-0.034,-0.423,0.02
NM_032737,LMNB2,0.018,-0.028,0.194,-0.026,-1.093,0.109,0.19
NM_032747,USMG5,0.063,-0.004,0.157,0.051,-0.019,0.095,N/A
NM_032750,ABHD14B,0.094,-0.01,0.197,0.266,0.159,-0.252,-0.007
NM_032752,ZNF496,-0.074,0.014,-0.069,-0.072,0.127,0.013,0.056
NM_032753,RAX2,-0.09,-0.074,0.046,-0.013,0.118,-0.275,-0.157
NM_032758,PHF5A,-0.475,-0.186,0.142,-0.024,0.176,0.087,0.086
NM_032765,TRIM52,-0.106,-0.212,0.199,0.412,0.108,-0.1,0.207
NM_032772,ZNF503,-0.254,0.226,-0.168,-0.35,0.366,-0.271,0.2
NM_032777,GPR124,-0.26,0.079,0.315,-0.128,-0.099,0.322,N/A
NM_032786,ZC3H10,-0.292,0.015,0.037,-0.086,0.281,-0.166,N/A
NM_032790,ORAI1,-0.051,N/A,0.132,0.057,N/A,N/A,0.158
NM_032792,ZBTB45,-0.193,0.054,0.128,-0.051,0.028,0.071,-0.005
NM_032797,AIFM2,-0.248,-0.019,-0.25,-0.133,0.172,0.135,-0.057
NM_032799,ZDHHC12,-0.086,-0.038,0.137,0.139,0.157,-0.131,-0.3
NM_032802,SPPL2A,0.07,0.009,-0.204,0.137,-0.06,0.028,-0.016
NM_032806,C3ORF39,-0.06,0.052,0.271,-0.067,-0.01,-0.034,-0.096
NM_032807,FBXO18,0.018,-0.265,0.092,-0.003,0.2,-0.013,0.003
NM_032808,LINGO1,0.039,-0.037,0.268,-0.014,-0.556,-0.178,0.159
NM_032809,FAM73B,-0.011,0.099,N/A,0.168,0.151,0.226,-0.013
NM_032810,ATAD1,0.072,-0.015,0.085,0.11,-0.761,0.131,0.288
NM_032816,CCDC123,0.033,-0.217,0.004,0.01,0.041,0.06,-0.138
NM_032818,C9ORF100,-0.172,0.118,0.078,0.309,-0.197,-0.394,-0.248
NM_032822,FAM136A,0.2,0.025,0.252,0.017,-0.299,0.053,0.061
NM_032824,TMEM87B,-0.028,-0.08,0.117,-0.178,0.281,-0.165,-0.152
NM_032826,SLC35B4,-0.072,0.084,-0.197,-0.472,-0.355,-0.065,0.404
NM_032827,ATOH8,-0.231,-0.014,0.014,-0.029,0.121,0.045,N/A
NM_032828,ZNF587,-0.045,0.091,-0.068,0.058,0.078,-0.072,-0.081
NM_032829,C12ORF34,0.064,0.014,0.435,0.257,-0.906,0.364,N/A
NM_032830,CIRH1A,0.098,0.135,-0.072,0.093,-0.103,0.194,-0.065
NM_032832,LRP11,0.052,0.011,0.316,0.308,-0.525,0.1,0.424
NM_032833,PPP1R15B,-0.058,-0.099,-0.055,0.354,0.067,-0.365,0.137
NM_032836,FIZ1,-0.112,-0.074,-0.04,0.003,0.113,-0.091,0.123
NM_032839,DIRC2,0.16,-0.148,-0.14,0.277,-0.262,0.042,0.152
NM_032840,SPRYD3,-0.732,-0.256,-0.241,0.119,0.111,0.178,-0.564
NM_032842,TMEM209,-0.119,0.212,-0.932,0.171,-0.066,0.03,0.219
NM_032843,FIBCD1,-0.09,0.007,-0.01,-0.07,0.067,0.033,0.047
NM_032844,MASTL,-0.106,-0.346,0.085,0.129,-0.163,-0.235,-0.096
NM_032847,C8ORF76,0.091,0.101,-0.168,0.158,0.092,-0.063,0.036
NM_032848,C12ORF52,0.158,0.122,0.133,0.038,0.116,0.155,-0.011
NM_032853,MUM1,-0.091,-0.028,0.16,0.191,-0.159,0.069,0.189
NM_032857,LACTB,0.077,0.097,0.055,-0.017,0.303,-0.33,0.065
NM_032858,MAEL,-0.048,N/A,N/A,N/A,0.096,0.039,0.07
NM_032859,ABHD13,0.147,-0.15,-0.03,0.329,0.156,-0.076,0.028
NM_032860,LTV1,0.06,-0.124,-0.033,-0.082,0.241,0.029,-0.082
NM_032864,PRPF38A,-0.145,0.075,-0.014,-0.179,-0.156,0.122,0.187
NM_032865,TNS4,-0.346,0.149,0.569,-0.501,-0.24,0.734,0.119
NM_032866,CGNL1,-0.071,0.359,0.105,-0.31,-0.493,-0.013,N/A
NM_032867,MICALCL,0.237,-0.407,-0.163,-0.141,0.053,-0.128,N/A
NM_032868,MPND,0.106,-0.048,0.103,-0.283,0.065,-0.349,0.05
NM_032869,NUDCD1,0.026,0.145,-0.104,0.034,0.062,-0.257,0.178
NM_032870,SFRS18,-0.168,-0.098,-0.148,0.3,0.401,-0.134,-0.08
NM_032872,SYTL1,0.093,-0.183,-0.087,-0.115,0.538,-0.019,0
NM_032873,UBASH3B,0.5,-0.245,-0.283,0.055,-0.12,-1.115,-0.648
NM_032875,FBXL20,0.161,0.011,-0.381,-0.13,-0.04,0.125,-0.055
NM_032881,LSM10,-0.042,0.06,0.088,0.002,0.34,0,-0.054
NM_032882,PNMA6A,N/A,-0.026,-0.044,-0.004,N/A,N/A,-0.018
NM_032888,COL27A1,0.187,0.298,0.282,-0.138,0.341,0.099,-0.203
NM_032889,MFSD5,-0.153,0.154,-0.034,0.003,0.082,-0.31,-0.185
NM_032892,FRMD5,0.159,0.081,0.354,0.021,-0.011,-0.273,0.155
NM_032899,FAM83A,-0.007,-0.088,-0.043,-0.087,0.097,-0.017,-0.007
NM_032901,C12ORF62,0.243,0.079,0.022,0.293,0.032,0.084,-0.06
NM_032902,PPP1R16A,0.057,-0.112,0.242,0.035,0.091,0.017,-0.228
NM_032906,PIGY,0.134,-0.029,-0.593,0.29,0.052,0.142,0.188
NM_032924,ZNF3,0.048,0.055,0.105,0.095,0.178,0.04,0.021
NM_032927,TMEM128,0.153,-0.102,-0.156,0.083,-0.08,0.162,0.179
NM_032928,TMEM141,-0.079,0.027,0.148,-0.131,0.062,0.074,0.105
NM_032933,C18ORF45,-0.045,N/A,N/A,N/A,0.085,-0.039,0.071
NM_032936,TMEM60,0.249,0.018,-0.631,0.356,-0.052,-0.338,-0.02
NM_032937,C9ORF37,-0.193,-0.006,-0.04,0.23,0.176,-0.176,N/A
NM_032940,POLR2C,0.196,0.253,-0.207,-0.208,-0.179,0.26,-0.045
NM_032945,TNFRSF6B,0.317,-0.146,0.363,-0.676,-0.418,0.563,0.002
NM_032947,MST150,-0.263,-0.084,0.601,0.242,-0.199,-0.182,-0.084
NM_032954,MLXIPL,-0.008,0.008,0.141,-0.122,0.177,-0.121,0.122
NM_032970,SEC22C,-0.153,-0.041,-0.458,0.182,0.175,-0.081,-0.134
NM_032982,CASP2,0.042,0.005,-0.002,N/A,0.065,-0.028,-0.097
NM_032986,SEC23B,0.266,0.014,0.204,0.178,-0.615,0,0.099
NM_032989,BAD,-0.095,0.109,0.054,-0.005,-0.055,-0.08,0.16
NM_032991,CASP3,0.066,0.063,0.388,0.105,-0.266,0.095,0.111
NM_032995,ARHGEF4,0.083,-0.006,0.358,-0.122,0,0.256,0.031
NM_032996,CASP9,0.13,0.298,0.21,0.247,0.203,0.104,-0.112
NM_032997,ZWINT,-0.151,-0.009,-0.036,0.064,-0.198,0.099,-0.154
NM_032998,DEDD,-0.191,-0.45,0.069,0.142,0.333,-0.097,-0.265
NM_032999,GTF2I,0.287,-0.108,0.262,-0.075,-0.084,-0.296,-0.12
NM_033015,FASTK,-0.093,-0.279,0.109,-0.041,0.046,-0.09,0.067
NM_033016,PDGFB,0.216,-0.292,0.103,-0.387,-0.328,-0.419,-0.116
NM_033017,TRIM4,-0.192,0.039,-0.185,-0.171,0.38,0.067,0.249
NM_033018,PCTK1,N/A,N/A,0.131,-0.168,0.187,-0.154,0.159
NM_033020,TRIM33,-0.025,0.038,0.093,-0.277,-0.157,-0.117,0.027
NM_033025,SYDE1,0.678,0.069,0.075,-0.171,0.027,0.138,0.066
NM_033027,AXUD1,-0.147,-0.072,0.411,0.55,-0.088,-0.061,-0.272
NM_033028,BBS4,0.034,0.082,0.056,0.345,0.155,0.159,0.031
NM_033036,GAL3ST3,0.211,-0.198,-0.051,-0.044,0.007,-0.106,-0.04
NM_033044,MACF1,0.018,0.166,0.153,-0.014,-0.451,0.135,-0.832
NM_033055,HIAT1,0.035,-0.126,-0.604,0.218,-0.201,0.063,0.161
NM_033068,ACPT,-0.015,-0.038,0.027,-0.046,0.096,0.003,-0.033
NM_033070,CECR5,0.176,0.041,0.088,-0.153,-0.12,-0.066,-0.129
NM_033082,CIP29,0.028,0.148,-0.634,-0.071,-0.212,0.141,0.041
NM_033083,EAF1,0.245,0.086,0.2,0.108,-0.738,0.027,0.091
NM_033085,FATE1,-0.107,-0.014,-0.006,-0.061,0.15,-0.087,0.081
NM_033087,ALG2,-0.047,0.101,-0.099,0.358,0.237,0.048,0.051
NM_033088,FAM40A,-0.201,-0.21,-0.15,0.058,0.303,0.223,-0.255
NM_033090,GREB1,0.295,-0.026,-0.016,0.123,-0.167,0.051,-0.078
NM_033092,TRIM5,0.077,-0.034,0.091,0.147,0.302,-0.217,0.012
NM_033102,SLC45A3,0.065,0.24,0.412,0.009,0.018,0.09,-0.375
NM_033103,RHPN2,0.009,0.186,-0.125,0.052,0.03,-0.249,-0.241
NM_033109,PNPT1,-0.118,-0.076,-0.2,0.243,0.025,0.205,0.102
NM_033111,N4BP2L2,-0.119,-0.101,0.054,0.128,0.265,0.096,0.242
NM_033112,C6ORF153,0.092,0.041,-0.104,-0.115,0.135,-0.059,-0.312
NM_033115,TBCKL,0.181,0.063,-0.014,0.234,0.067,0.214,0.024
NM_033117,RBM18,0.048,0.061,0.224,0.108,-0.096,0.102,0.039
NM_033118,MYLK2,-0.214,0.068,-0.165,-0.171,0.102,-0.024,0.193
NM_033119,NKD1,N/A,N/A,0.156,0.102,0.308,-0.025,N/A
NM_033120,NKD2,-0.412,0.387,0.294,-0.22,0.142,0.244,N/A
NM_033129,SCRT2,-0.235,0.021,0.029,-0.196,0.303,0.096,0.094
NM_033131,WNT3A,-1.177,0.2,0.396,-0.048,-0.097,0.047,-0.707
NM_033133,CNP,0.163,0.036,0.033,-0.049,-0.198,-0.241,0.076
NM_033158,HYAL2,0.162,-0.094,0.042,-0.284,0.095,-0.407,-0.041
NM_033161,SURF4,-0.122,0.094,0.088,-0.254,-0.074,-0.04,0.098
NM_033165,FGF8,-0.036,0.017,-0.026,-0.093,0.034,0.046,0.043
NM_033167,B3GALNT1,-0.143,0.108,-0.431,-0.438,-1.309,0.193,0.067
NM_033182,FBXO44,0.254,0.029,-0.142,-0.091,0.324,-0.215,0.142
NM_033198,PIGS,0.097,0.017,0.212,0.091,-0.043,-0.071,-0.114
NM_033200,LMF2,-0.306,-0.219,0.142,-0.131,-0.025,0.022,0.03
NM_033211,C5ORF30,0.033,-0.086,0.063,-0.019,N/A,N/A,0.072
NM_033212,CCDC102A,0.178,0.167,0.043,-0.174,0.309,0.092,-0.184
NM_033213,ZNF670,0.047,0.062,-0.145,0.227,0.088,0.212,-0.041
NM_033256,PPP1R14A,-0.178,0.008,N/A,N/A,0.186,-0.133,N/A
NM_033257,DGCR6L,0.088,0.108,0.084,-0.21,-0.229,0.164,-0.004
NM_033259,CAMK2N2,-0.215,-0.037,0.095,-0.231,0.071,0.076,N/A
NM_033261,IDI2,0.183,0.105,0.092,-0.095,N/A,-0.081,0.14
NM_033271,BTBD6,-0.279,0.026,0.022,-0.105,-0.174,0.098,0.156
NM_033273,ZNF479,0.013,0.171,0.034,0.092,0.242,0.164,-0.058
NM_033274,ADAM19,0.22,-0.144,0.543,-0.081,-0.788,0.418,0.285
NM_033276,XRCC6BP1,0.009,0.021,-0.114,0.02,-0.123,0.076,0.192
NM_033280,SEC11C,-0.057,0.061,0.015,0.115,-0.069,0.122,0.36
NM_033296,MRFAP1,N/A,N/A,0.327,-0.112,-0.303,0.008,N/A
NM_033300,LRP8,0.325,-0.071,-0.102,-0.348,-0.287,-0.156,-0.176
NM_033306,CASP4,0.248,-0.302,0.023,-0.029,0.281,0.042,-0.102
NM_033309,B3GNT9,0.147,-0.237,0.009,0.061,-0.217,0.015,0.207
NM_033316,MFI2,0.294,-0.159,0.398,-0.346,-0.534,-0.168,-0.171
NM_033318,C22ORF32,-0.076,0.098,0.098,0.024,-0.014,0.019,0.089
NM_033340,CASP7,0.187,-0.529,0.184,0.185,-0.417,0.163,0.054
NM_033342,TRIM7,0.02,-0.273,0.19,0.096,-0.155,-0.034,0.09
NM_033360,KRAS,0.082,0.031,-0.246,-0.175,-0.253,-0.15,0.459
NM_033362,MRPS12,-0.068,0.233,0.209,-0.111,0.125,-0.028,0.014
NM_033381,COL4A5,0.174,-0.116,-0.044,0.199,0.443,0.213,-0.081
NM_033388,ATG16L2,0.263,-0.409,0.018,-0.144,0.143,0.067,-0.18
NM_033389,SSH2,0.018,-0.305,0.176,0.143,-0.282,0,-0.073
NM_033394,TANC1,-0.088,-0.37,0,0.151,0.216,0.134,0.18
NM_033395,KIAA1731,0.009,-0.079,0.053,0.252,-0.12,0.08,-0.059
NM_033396,TNKS1BP1,-0.018,-0.27,0.146,0.071,0.107,0.113,0.164
NM_033397,ITPRIP,N/A,N/A,0.056,-0.034,0.02,0.033,-0.032
NM_033406,FBXO3,0.063,0.173,-0.515,0.553,0.563,0.227,-0.254
NM_033407,DOCK7,0.169,-0.145,0.078,0.142,-0.107,-0.186,0.05
NM_033409,C20ORF54,0.302,0.118,-0.111,0.049,0.109,-0.452,N/A
NM_033410,ZNF764,0.098,-0.006,-0.116,0.049,0.019,-0.056,-0.077
NM_033411,RWDD2A,0.294,0.097,-0.082,0.446,-0.168,-0.056,0.239
NM_033414,ZNF622,-0.464,0.128,0.222,0.133,0.226,0.224,-0.23
NM_033415,ARMC6,-0.147,0.046,0.1,-0.09,0.026,-0.043,0.025
NM_033416,IMP4,-0.081,-0.008,-0.012,-0.087,0.32,-0.063,0.02
NM_033419,PERLD1,-0.034,0.057,-0.177,-0.107,0.174,-0.305,N/A
NM_033420,C19ORF6,-0.149,-0.071,-0.205,-0.152,0.124,0.1,0.045
NM_033426,KIAA1737,-0.049,0.036,0.142,0.099,0.245,-0.076,0.108
NM_033427,CTTNBP2,-0.011,0.122,-0.233,N/A,N/A,-0.139,N/A
NM_033429,CALML4,-0.215,0.019,-0.031,-0.206,-0.157,-0.094,-0.066
NM_033450,ABCC10,-0.176,0.052,0.198,0.009,0.296,-0.19,0.143
NM_033452,TRIM47,0.033,0.008,0.076,-0.156,-0.121,-0.142,-0.01
NM_033453,ITPA,0.045,-0.132,0.129,-0.431,0.243,0.038,0.09
NM_033481,FBXO9,0.303,-0.039,0.043,0.119,-0.216,0.058,-0.066
NM_033489,CDC2L1,-0.09,0.063,0.027,0.014,0.099,0.021,-0.057
NM_033495,KLHL13,0.262,-0.014,-0.13,-0.109,-0.24,-0.051,-0.12
NM_033502,TRERF1,0.089,0.067,-0.073,-0.378,0.007,-0.531,-0.093
NM_033504,TMEM54,-0.025,N/A,-0.227,0.019,N/A,N/A,0.077
NM_033510,DISP2,0.171,-0.036,0.222,0.04,-0.13,-0.044,0.237
NM_033515,ARHGAP18,-0.095,0.043,0.241,-0.445,-0.138,-0.008,0.422
NM_033518,SLC38A5,-0.082,-0.081,-0.079,-0.219,0.217,0.032,-0.053
NM_033540,MFN1,0.28,-0.044,-0.41,0.336,-0.015,-0.05,-0.057
NM_033542,SYS1,-0.21,0.135,0.079,-0.091,0.149,-0.079,-0.119
NM_033549,TRIM41,-0.102,0.12,-0.114,0.237,0.407,-0.203,0.091
NM_033551,LARP1,-0.074,0.004,0.256,0.083,0.13,0.049,-0.166
NM_033553,GUCA2A,-0.081,-0.046,-0.121,-0.129,0.161,0.009,N/A
NM_033625,RPL34,-0.202,0.165,-0.122,0.168,0.432,-0.092,-0.253
NM_033626,CCDC120,-0.221,0.24,0.426,0.278,0.451,0.061,0.315
NM_033629,TREX1,-0.223,0.025,0.046,-0.012,0.192,0.087,0.109
NM_033630,SCAND1,-0.067,-0.016,0,-0.07,0.111,-0.04,0.046
NM_033641,COL4A6,0.197,-0.04,0.128,0.627,0.399,-0.201,N/A
NM_033643,RPL36,-0.168,0.14,0.099,-0.053,0.256,0.068,0.065
NM_033644,FBXW11,0.33,-0.185,-0.258,-0.809,-0.197,-0.292,0.264
NM_033655,CNTNAP3,0.215,-0.359,-0.307,0.064,-0.332,0.23,0.047
NM_033657,DAP3,N/A,N/A,-0.226,-0.64,0.088,-0.173,0.034
NM_037370,CCNDBP1,0.252,-0.018,0.021,0.194,0.131,0.036,-0.123
NM_048368,CTDP1,0.008,0.164,0.055,-0.046,0.178,-0.028,-0.059
NM_052813,CARD9,0.098,0.085,-0.055,-0.387,0.064,0.107,-0.171
NM_052819,CARD14,N/A,0.005,N/A,-0.131,0.116,-0.051,N/A
NM_052821,WDR5,-0.153,0.21,-0.079,0.076,-0.035,0.206,-0.17
NM_052831,C6ORF192,0.231,0.112,-0.132,0.282,-0.002,0.187,0.152
NM_052836,CDH23,N/A,0.016,-0.055,0.008,N/A,0.011,N/A
NM_052838,1-Sep,-0.644,-0.031,-0.056,-0.012,-0.13,-0.016,1.286
NM_052843,OBSCN,-0.026,0.105,0.03,-0.046,0.063,0.027,-0.004
NM_052844,WDR34,-0.036,-0.093,N/A,-0.005,-0.03,0.02,-0.154
NM_052847,GNG7,0.097,0.009,N/A,-0.63,-0.173,0.234,N/A
NM_052848,CCDC97,0.022,0.164,-0.021,-0.046,-0.155,0.007,0.083
NM_052849,C15ORF57,-0.471,-0.019,0.022,0.215,0.262,0.234,-0.173
NM_052850,GADD45GIP1,0.083,-0.017,-0.066,-0.319,-0.051,-0.037,-0.019
NM_052853,ADCK2,0.015,0.028,-0.003,0.254,-0.206,0.319,-0.215
NM_052855,ANKRD40,0.05,0.117,0.127,-0.062,0.191,0.035,-0.388
NM_052860,ZNF300,-0.04,N/A,0.008,-0.012,-0.055,N/A,0.036
NM_052864,TIFA,-0.155,0.011,0.185,-0.234,-0.539,-0.084,0.1
NM_052865,C20ORF72,-0.134,0.071,0.142,-0.131,0.014,-0.209,-0.08
NM_052868,IGSF8,-0.112,0.297,0.229,0.048,-0.116,0.527,0.131
NM_052875,VPS26B,0.118,-0.024,0.046,-0.355,-0.091,0.184,-0.104
NM_052877,MED8,0.1,-0.363,0.13,0.151,-0.297,-0.399,0.188
NM_052888,LRRC37B,0.005,0.052,0.06,-0.027,-0.029,-0.098,0.063
NM_052897,MBD6,-0.148,-0.103,-0.086,0.266,0.302,0.069,0.075
NM_052899,GPRIN1,-0.155,0.087,0.156,0.222,-0.332,0.112,0.304
NM_052903,TUBGCP5,0.036,-0.073,0.088,0.169,-0.056,-0.023,-0.066
NM_052905,FMNL2,0.024,-0.003,0.048,-0.01,0.087,0.037,0.152
NM_052911,ESCO1,0.077,0.202,0.059,0.004,-0.105,0.028,0.126
NM_052913,TMEM200A,-0.12,0.073,-0.264,N/A,-0.345,0.285,0.451
NM_052924,RHPN1,-0.025,-0.02,0.053,-0.071,0.135,0.046,0.004
NM_052925,LENG8,-0.012,-0.083,0.014,-0.079,0.025,0.048,0.002
NM_052932,TMEM123,0.112,-0.587,-0.334,-0.511,-0.19,0.014,0.2
NM_052935,NT5C3L,-0.053,0.056,0.053,-0.05,-0.004,-0.135,0.163
NM_052936,ATG4A,0.069,-0.066,0.076,0.169,-0.381,0.076,0.031
NM_052937,PCMTD1,0.561,-0.401,0.214,0.15,0.408,0.201,0.064
NM_052940,LRRC42,-0.087,0.051,-0.036,0.053,0.033,-0.161,0.11
NM_052943,FAM46B,-0.045,0.303,-0.018,-0.167,0.238,-0.141,-0.187
NM_052944,SLC5A11,-0.072,N/A,-0.014,-0.081,0.138,N/A,0.047
NM_052950,WDFY2,-0.245,0.128,-0.262,-0.029,-0.08,0.295,-0.074
NM_052951,DNTTIP1,0.048,-0.038,-0.061,-0.162,0.058,0.157,0.009
NM_052960,RBP7,0.163,0.022,0.053,0.106,-0.403,0.051,0.05
NM_052963,TOP1MT,0.161,0.081,-0.019,-0.164,0.05,0.233,0.043
NM_052965,TSEN15,-0.353,0.155,-0.023,0.235,0.213,-0.026,-0.056
NM_052966,FAM129A,-0.24,-0.253,-0.028,0.197,-0.516,0.315,0.319
NM_052971,LEAP2,-0.081,0.017,0.027,N/A,0.04,0.037,N/A
NM_052985,IFT122,-0.069,0.032,-0.02,-0.037,0.04,-0.032,-0.059
NM_052988,CDK10,-0.181,-0.14,0.146,-0.027,0.181,0.17,0.002
NM_053001,OSR2,0.384,-0.009,-0.137,0.297,0.116,-0.023,-0.113
NM_053004,GNB1L,0.061,0.049,0.155,-0.38,0.116,-0.302,-0.064
NM_053023,ZFP91,-0.089,-0.581,-0.22,0.318,0.435,0.005,-0.072
